customer_id,gender,age,tenure,monthly_charges,total_charges,contract_type,payment_method,churn
1,Male,38,1,32.96,35.280730581684786,Two-Year,Mailed Check,1
2,Female,49,51,87.32,4821.395572851301,Annual,Mailed Check,0
3,Male,40,45,87.71,4120.62750993675,Two-Year,Mailed Check,1
4,Male,50,4,96.42,356.81684952012796,Annual,Credit Card,0
5,Male,20,62,32.37,1823.1815662117015,Annual,Credit Card,0
6,Female,35,65,69.87,4718.976155723385,Two-Year,Credit Card,0
7,Male,42,32,57.94,2125.588236946706,Monthly,Mailed Check,0
8,Male,59,34,47.55,1905.593767820181,Monthly,Credit Card,1
9,Male,48,39,48.12,1580.8445220033775,Monthly,Mailed Check,0
10,Female,71,26,53.02,1188.1897356152836,Monthly,Credit Card,0
11,Male,20,34,76.39,3059.2982781947767,Monthly,Credit Card,0
12,Male,57,54,67.86,4011.147660847659,Annual,Bank Transfer,0
13,Male,63,3,56.77,196.40107132270347,Monthly,Electronic,1
14,Male,41,50,26.07,1148.452655438168,Annual,Mailed Check,0
15,Female,67,12,26.22,325.66320739434485,Annual,Bank Transfer,0
16,Male,49,65,20.19,1417.9362186935089,Annual,Credit Card,0
17,Female,64,54,97.42,5639.684397413272,Two-Year,Mailed Check,0
18,Female,39,5,20.42,98.34891505499596,Two-Year,Credit Card,0
19,Female,40,57,28.25,1298.115849738372,Annual,Electronic,0
20,Male,19,17,45.17,793.3612359037703,Two-Year,Bank Transfer,0
21,Female,44,47,84.59,3583.0893529450186,Monthly,Electronic,1
22,Male,59,23,96.97,2185.9306190859797,Monthly,Bank Transfer,1
23,Female,19,14,83.2,1377.996146547852,Annual,Credit Card,1
24,Female,43,66,75.24,4765.290216704602,Monthly,Electronic,0
25,Female,34,51,61.7,3574.4014862763806,Annual,Electronic,0
26,Female,57,38,26.94,896.1811155670495,Annual,Credit Card,0
27,Female,50,64,96.65,6612.308662633448,Monthly,Electronic,1
28,Female,26,38,80.67,3650.3582954217613,Two-Year,Mailed Check,0
29,Female,60,50,71.12,2989.7327466816655,Monthly,Bank Transfer,0
30,Female,71,30,80.72,1945.3390288389473,Monthly,Bank Transfer,0
31,Male,65,51,77.93,3868.8417834091365,Annual,Bank Transfer,0
32,Male,56,63,70.98,3743.070831032049,Annual,Mailed Check,0
33,Female,46,52,98.45,5628.031535892999,Annual,Bank Transfer,0
34,Female,59,38,92.27,4087.6661592422593,Annual,Credit Card,1
35,Female,72,30,71.73,2095.1078924687913,Two-Year,Electronic,0
36,Male,43,51,75.45,3476.5637853728117,Two-Year,Mailed Check,0
37,Female,52,5,24.13,117.48430417525897,Two-Year,Bank Transfer,0
38,Male,67,29,73.59,2324.854889020746,Annual,Credit Card,0
39,Male,42,4,23.53,75.63687107517782,Annual,Electronic,0
40,Male,41,10,67.06,694.5951381393753,Annual,Electronic,1
41,Male,30,56,99.95,5850.846487460654,Two-Year,Mailed Check,0
42,Male,24,17,64.46,1156.1726138854017,Annual,Mailed Check,1
43,Female,74,17,57.86,882.1191033243163,Monthly,Mailed Check,0
44,Female,53,69,45.03,3373.1007180905904,Monthly,Credit Card,0
45,Female,62,34,29.64,843.0482737062844,Annual,Credit Card,1
46,Female,37,6,78.48,414.2369664141949,Monthly,Mailed Check,0
47,Female,18,53,35.41,2160.0937442631457,Monthly,Bank Transfer,0
48,Male,25,66,29.22,2112.672948255679,Two-Year,Electronic,0
49,Female,63,43,53.74,1861.3614004481988,Annual,Electronic,0
50,Female,33,23,83.63,1729.8917012234826,Annual,Credit Card,1
51,Male,31,55,79.61,3878.3558024438885,Two-Year,Electronic,0
52,Female,29,16,24.39,354.4637845812593,Monthly,Bank Transfer,1
53,Male,68,8,56.41,405.7115092527628,Monthly,Electronic,1
54,Female,40,4,61.79,203.90959970232072,Annual,Credit Card,0
55,Male,32,4,71.56,281.53885338826956,Monthly,Credit Card,1
56,Female,45,56,72.01,4407.96468043348,Two-Year,Bank Transfer,0
57,Female,51,25,49.18,1281.9906622160354,Two-Year,Bank Transfer,1
58,Male,19,67,64.85,4645.39750259009,Annual,Electronic,0
59,Male,49,67,58.48,3261.7101861494207,Two-Year,Electronic,0
60,Male,40,27,90.8,2894.3498500277647,Two-Year,Credit Card,0
61,Male,39,32,62.42,2267.8868514365645,Annual,Bank Transfer,0
62,Male,68,50,55.28,3101.307856128805,Two-Year,Bank Transfer,0
63,Male,42,61,52.36,3606.598941580482,Two-Year,Bank Transfer,1
64,Male,39,51,65.79,3936.0376963331096,Two-Year,Electronic,0
65,Male,39,19,84.32,1630.439357612573,Monthly,Bank Transfer,0
66,Female,66,21,63.07,1165.6830096820538,Annual,Credit Card,1
67,Female,69,5,72.93,381.68405704137166,Annual,Credit Card,0
68,Male,59,42,79.03,3641.7347306688976,Annual,Electronic,1
69,Female,23,61,61.61,4115.867410750812,Monthly,Mailed Check,1
70,Female,32,22,54.15,1201.5208889960018,Monthly,Electronic,1
71,Female,71,21,90.13,1566.0135487376974,Annual,Mailed Check,1
72,Female,60,70,53.4,3545.288065540727,Monthly,Bank Transfer,0
73,Male,54,1,56.96,66.54674640722914,Annual,Electronic,0
74,Female,50,5,99.23,512.9097306304587,Monthly,Credit Card,1
75,Male,25,12,20.02,243.92354641910103,Two-Year,Bank Transfer,0
76,Female,70,46,34.84,1454.4621585157915,Two-Year,Credit Card,0
77,Female,61,34,50.72,1633.7371173670967,Annual,Bank Transfer,0
78,Female,61,49,94.61,5369.002392497714,Monthly,Electronic,1
79,Male,22,45,25.6,1228.706172300366,Monthly,Mailed Check,0
80,Female,56,27,20.76,624.9544704940871,Two-Year,Bank Transfer,0
81,Male,21,26,24.21,617.9649080016665,Two-Year,Mailed Check,0
82,Female,23,47,27.08,1339.0693804140076,Monthly,Bank Transfer,0
83,Male,62,56,23.01,1158.8708731528593,Monthly,Credit Card,0
84,Female,49,63,58.38,3980.209042453138,Monthly,Credit Card,0
85,Male,69,48,66.46,3097.696985048137,Monthly,Bank Transfer,0
