iter	Passed	Remaining
0	1	1450
1	2	1250
2	3	1085
3	4	1048
4	5	999
5	5	969
6	6	932
7	7	919
8	8	928
9	9	913
10	10	903
11	10	867
12	11	856
13	12	856
14	12	827
15	13	808
16	13	793
17	14	805
18	15	809
19	16	803
20	16	785
21	17	779
22	18	781
23	19	781
24	20	780
25	20	780
26	21	779
27	22	767
28	22	757
29	23	762
30	24	752
31	24	745
32	25	747
33	26	749
34	27	750
35	27	748
36	28	747
37	29	744
38	30	742
39	30	742
40	32	748
41	33	753
42	34	763
43	35	760
44	36	766
45	37	770
46	37	769
47	38	769
48	39	771
49	40	774
50	41	774
51	42	771
52	42	766
53	43	766
54	44	766
55	45	764
56	46	761
57	46	761
58	48	766
59	48	766
60	50	778
61	51	776
62	52	777
63	52	774
64	53	771
65	54	765
66	54	761
67	55	763
68	56	764
69	57	764
70	58	764
71	59	762
72	60	763
73	60	760
74	61	756
75	62	758
76	63	760
77	63	756
78	64	752
79	65	752
80	66	752
81	67	750
82	67	749
83	68	745
84	69	744
85	70	744
86	70	741
87	71	738
88	72	738
89	73	738
90	74	740
91	75	740
92	77	753
93	78	754
94	79	755
95	80	754
96	81	754
97	81	754
98	82	753
99	83	752
100	84	748
101	85	749
102	86	751
103	87	750
104	87	747
105	88	747
106	89	748
107	90	744
108	91	744
109	93	752
110	93	752
111	94	750
112	95	749
113	96	748
114	97	750
115	98	751
116	100	756
117	100	754
118	101	752
119	102	753
120	103	752
121	104	751
122	104	747
123	105	746
124	106	745
125	107	744
126	108	743
127	108	741
128	110	743
129	111	744
130	112	743
131	113	747
132	114	749
133	116	749
134	117	750
135	117	747
136	118	746
137	119	745
138	120	744
139	120	740
140	121	737
141	121	735
142	122	732
143	122	730
144	123	729
145	124	725
146	124	725
147	125	723
148	126	723
149	127	722
150	128	722
151	129	721
152	129	718
153	130	718
154	131	717
155	132	717
156	133	716
157	135	719
158	135	716
159	136	715
160	137	715
161	138	715
162	139	715
163	140	714
164	141	714
165	141	713
166	142	712
167	144	713
168	144	712
169	145	712
170	146	710
171	147	710
172	148	708
173	149	708
174	150	707
175	150	706
176	151	705
177	152	704
178	153	703
179	154	703
180	155	702
181	156	702
182	156	699
183	157	698
184	158	698
185	159	696
186	160	696
187	161	695
188	161	694
189	162	693
190	163	693
191	164	692
192	165	690
193	165	689
194	167	690
195	168	689
196	168	688
197	169	686
198	170	686
199	171	687
200	172	686
201	173	685
202	174	685
203	175	684
204	176	684
205	177	684
206	178	682
207	179	682
208	180	682
209	180	679
210	181	679
211	182	678
212	183	677
213	184	676
214	185	676
215	185	674
216	186	673
217	187	673
218	188	672
219	189	673
220	190	672
221	191	672
222	192	671
223	193	670
224	194	669
225	195	669
226	196	669
227	197	668
228	198	668
229	199	668
230	200	667
231	201	666
232	202	665
233	203	664
234	203	662
235	204	661
236	205	660
237	206	660
238	207	660
239	208	660
240	209	659
241	210	658
242	210	657
243	211	656
244	212	654
245	213	653
246	213	652
247	214	651
248	215	650
249	216	650
250	217	649
251	218	649
252	219	649
253	220	648
254	221	647
255	222	647
256	223	646
257	224	645
258	225	645
259	226	644
260	227	643
261	228	642
262	228	641
263	229	640
264	230	640
265	231	640
266	232	639
267	233	639
268	234	638
269	236	638
270	236	637
271	237	636
272	238	635
273	239	635
274	240	634
275	241	633
276	242	633
277	243	632
278	244	631
279	245	630
280	246	630
281	247	629
282	248	628
283	248	626
284	249	625
285	250	626
286	251	625
287	252	625
288	253	623
289	254	622
290	255	622
291	256	621
292	257	620
293	257	619
294	258	618
295	259	618
296	260	617
297	261	616
298	262	615
299	263	615
300	264	614
301	265	612
302	265	611
303	267	611
304	267	609
305	268	608
306	269	608
307	270	607
308	271	606
309	272	605
310	273	605
311	274	604
312	274	603
313	275	602
